                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.76527,                 1.1776,                 1.1777,                 1.1018,                0.45052,                0.41818,                0.40256,                0.28768,                0.47011,                0.43636,                0.39686,                0.28827,                 1.4188,                 2.5191,                  2.106,                 1.6704,              0.0095644,              0.0095644,              0.0095644
                     24,                0.75525,                 1.1198,                 1.1371,                 1.0706,                0.51716,                0.52582,                0.45124,                0.32933,                0.49734,                0.49091,                0.42972,                0.33827,                 1.4317,                 2.3009,                 2.0406,                 1.7766,              0.0095446,              0.0095446,              0.0095446
                     25,                0.74364,                 1.1303,                 1.1213,                 1.0829,                0.54539,                0.45455,                0.40682,                0.30396,                0.52357,                0.43636,                0.38375,                0.30116,                 1.4076,                 2.1595,                 2.0831,                 1.7045,              0.0095248,              0.0095248,              0.0095248
                     26,                0.74487,                 1.0593,                 1.1438,                 1.0765,                0.45106,                0.41818,                0.41907,                0.27697,                0.61297,                0.32727,                0.39414,                0.27824,                 1.3368,                 2.1817,                 1.9877,                 1.6134,               0.009505,               0.009505,               0.009505
                     27,                0.74192,                 1.0746,                 1.1474,                 1.0851,                0.43208,                0.47273,                0.38725,                0.25977,                0.50627,                0.41818,                0.39392,                0.28648,                 1.5072,                 2.7894,                 2.1929,                 1.8826,              0.0094852,              0.0094852,              0.0094852
                     28,                0.73974,                 1.1114,                 1.1498,                 1.0777,                0.35449,                0.57914,                0.41281,                0.29686,                0.31694,                0.51465,                0.38282,                0.30046,                 1.3454,                 1.9385,                  1.918,                 1.6572,              0.0094654,              0.0094654,              0.0094654
                     29,                0.73243,                 1.0766,                 1.0945,                 1.0731,                0.43427,                0.47273,                0.38657,                0.28315,                0.46355,                0.45455,                0.39068,                0.30102,                 1.3133,                 2.5492,                 2.0132,                 1.6882,              0.0094456,              0.0094456,              0.0094456
                     30,                0.71813,                 1.0818,                 1.0961,                 1.0629,                0.35749,                0.56364,                0.40082,                0.29244,                0.33753,                0.52727,                0.37308,                 0.2992,                 1.3831,                 2.3666,                 1.9733,                 1.7073,              0.0094258,              0.0094258,              0.0094258
                     31,                0.73098,                  1.093,                 1.1137,                 1.0793,                0.50796,                0.47273,                0.40924,                0.26791,                0.52681,                0.44543,                0.41434,                0.26856,                 1.6426,                 3.0516,                  2.226,                 1.8528,               0.009406,               0.009406,               0.009406
                     32,                0.71276,                 1.0586,                 1.0793,                 1.0639,                0.54373,                0.47273,                0.43829,                0.29682,                0.51645,                0.45455,                0.41623,                0.31001,                 1.4044,                 2.0346,                 1.9493,                 1.6665,              0.0093862,              0.0093862,              0.0093862
                     33,                0.70582,                 1.0149,                 1.1003,                 1.0483,                0.47985,                0.36364,                0.37601,                0.26925,                0.49913,                0.36364,                0.38746,                0.29398,                 1.2866,                 2.4543,                 1.8205,                 1.6967,              0.0093664,              0.0093664,              0.0093664
                     34,                0.71436,                  1.033,                 1.0819,                 1.0503,                0.52396,                0.46037,                0.46556,                0.33191,                0.61856,                0.41288,                0.45116,                0.34905,                 1.2962,                 2.1141,                 1.8394,                 1.7327,              0.0093466,              0.0093466,              0.0093466
                     35,                 0.6842,                0.99978,                 1.0487,                  1.041,                0.54693,                0.43636,                0.47062,                0.35135,                0.53487,                0.41818,                 0.4401,                0.36132,                 1.4038,                  3.018,                 1.8776,                 1.7221,              0.0093268,              0.0093268,              0.0093268
                     36,                0.71025,                 1.0035,                   1.04,                 1.0628,                0.62347,                0.32727,                0.38785,                0.29795,                 0.6592,                0.34545,                0.41734,                0.32364,                 1.3701,                 2.3349,                 2.2133,                 1.5998,               0.009307,               0.009307,               0.009307
                     37,                0.68487,                 1.0009,                 1.0457,                 1.0522,                0.34127,                0.49091,                0.37616,                0.27323,                0.48412,                0.32426,                 0.3567,                0.28451,                 1.2835,                 2.2008,                 2.3088,                 1.6419,              0.0092872,              0.0092872,              0.0092872
                     38,                  0.689,                 1.0119,                 1.0434,                 1.0492,                0.76007,                0.32727,                0.42989,                0.31991,                0.72676,                0.32727,                0.40892,                0.32636,                 1.3054,                 1.8374,                 2.0365,                 1.6652,              0.0092674,              0.0092674,              0.0092674
                     39,                0.68496,                 1.0015,                 1.0295,                 1.0456,                0.59153,                0.42136,                0.42416,                0.30519,                0.47208,                0.41818,                0.40325,                0.30897,                 1.2756,                 1.8888,                  2.087,                 1.5216,              0.0092476,              0.0092476,              0.0092476
                     40,                0.67837,                 1.0368,                0.99613,                 1.0427,                0.42128,                0.45455,                0.39014,                  0.289,                0.42452,                0.47273,                0.37955,                0.30168,                 1.1909,                 2.1983,                 2.0234,                 1.4603,              0.0092278,              0.0092278,              0.0092278
                     41,                0.69832,                 1.0363,                 1.0205,                 1.0524,                0.46171,                0.45455,                0.38967,                0.27349,                0.44221,                0.43636,                0.37717,                0.28422,                 1.3456,                 1.8012,                 2.2033,                 1.6019,               0.009208,               0.009208,               0.009208
                     42,                0.66241,                 0.9287,                  1.008,                 1.0267,                0.60068,                0.41038,                0.42064,                0.30605,                 0.5617,                    0.4,                0.39903,                0.31903,                 1.4252,                 1.9983,                 2.0462,                 1.7618,              0.0091882,              0.0091882,              0.0091882
                     43,                 0.6504,                0.93664,                0.98795,                  1.021,                0.41984,                0.49091,                 0.4068,                0.30648,                0.47905,                0.34545,                0.37233,                0.30112,                 1.3466,                 2.8542,                 2.0787,                 1.7595,              0.0091684,              0.0091684,              0.0091684
                     44,                0.66558,                0.97107,                0.99286,                 1.0238,                0.50988,                0.36364,                0.40646,                0.30341,                0.49356,                0.37222,                0.39605,                0.31229,                  1.221,                 2.0026,                 2.1397,                 1.5151,              0.0091486,              0.0091486,              0.0091486
                     45,                0.66579,                0.94996,                0.97378,                 1.0207,                0.41594,                0.43636,                0.38366,                0.29462,                0.41594,                0.43636,                0.38975,                 0.3186,                 1.4206,                  1.863,                 2.1285,                 1.7265,              0.0091288,              0.0091288,              0.0091288
                     46,                0.66306,                 1.0072,                 0.9847,                 1.0256,                0.46816,                0.56364,                0.45512,                 0.3291,                0.54232,                0.40945,                0.43036,                0.33488,                 1.3737,                 2.4901,                 2.1808,                 1.6867,               0.009109,               0.009109,               0.009109
                     47,                0.65622,                0.97406,                 0.9795,                 1.0281,                0.42297,                0.41818,                0.39966,                0.29428,                0.42557,                0.41818,                0.38964,                0.29956,                 1.3219,                 2.3247,                 2.0591,                 1.6778,              0.0090892,              0.0090892,              0.0090892
                     48,                0.66225,                 1.0034,                0.98272,                 1.0234,                0.49645,                0.43636,                0.42037,                0.32656,                0.49645,                0.43636,                0.40639,                0.33195,                 1.1582,                 1.8803,                 1.9264,                 1.5386,              0.0090694,              0.0090694,              0.0090694
                     49,                0.65892,                0.97041,                0.96915,                 1.0339,                0.50956,                0.34545,                0.35978,                0.27474,                0.48152,                0.32727,                0.32614,                   0.27,                 1.2619,                  1.961,                 2.1007,                 1.6246,              0.0090496,              0.0090496,              0.0090496
                     50,                0.65128,                0.92413,                0.92823,                 1.0194,                0.49262,                0.45455,                 0.4387,                0.26843,                0.45147,                0.41818,                0.40724,                0.29782,                 1.3733,                 2.3714,                 1.8992,                 1.6518,              0.0090298,              0.0090298,              0.0090298
                     51,                0.63966,                0.92897,                0.93224,                 1.0122,                0.58525,                0.34545,                0.42365,                0.29139,                0.43044,                0.41818,                0.39802,                0.29367,                 1.2869,                 2.0063,                 1.9719,                 1.5622,                0.00901,                0.00901,                0.00901
                     52,                0.63043,                0.89086,                0.88588,                 1.0139,                0.56853,                0.43636,                0.44133,                0.30658,                0.49433,                0.38182,                0.39393,                0.32802,                 1.2707,                 2.1178,                 1.8302,                 1.5762,              0.0089902,              0.0089902,              0.0089902
                     53,                0.63456,                0.93286,                0.92401,                 1.0159,                0.77765,                0.32727,                0.41699,                0.28418,                0.77765,                0.32727,                0.39603,                0.26468,                 1.2771,                 1.8637,                  1.994,                  1.666,              0.0089704,              0.0089704,              0.0089704
                     54,                0.65181,                0.90353,                0.89089,                 1.0151,                0.69769,                0.46168,                0.51977,                0.35357,                0.64551,                0.43052,                0.47354,                0.37322,                 1.3793,                 2.0665,                 1.6226,                 1.8713,              0.0089506,              0.0089506,              0.0089506
                     55,                0.64067,                0.89182,                0.90381,                 1.0129,                0.45863,                0.54545,                 0.4664,                0.31569,                0.41461,                0.49091,                 0.4089,                0.31705,                 1.4064,                 2.3915,                 2.0889,                 1.7557,              0.0089308,              0.0089308,              0.0089308
                     56,                0.63392,                0.92443,                0.90262,                 1.0137,                0.55266,                    0.4,                0.41538,                0.33383,                0.55266,                    0.4,                0.41869,                0.35129,                 1.2693,                 1.9463,                 1.9417,                 1.6144,               0.008911,               0.008911,               0.008911
                     57,                0.62222,                0.85918,                0.90153,                 1.0141,                0.35568,                0.49091,                 0.3938,                0.30421,                0.34962,                0.47273,                0.37158,                0.31546,                  1.296,                 2.4427,                 2.0004,                 1.6105,              0.0088912,              0.0088912,              0.0088912
                     58,                0.63583,                0.92395,                0.91968,                 1.0106,                 0.5623,                0.43636,                0.42592,                0.32454,                0.68897,                0.36364,                0.41451,                0.34009,                 1.3128,                 1.8562,                 1.8082,                 1.7492,              0.0088714,              0.0088714,              0.0088714
                     59,                0.62961,                0.87133,                0.88429,                 1.0024,                0.45406,                0.41818,                0.42353,                0.32819,                0.57383,                0.38182,                0.42259,                0.32117,                 1.1805,                 2.3021,                 2.0442,                 1.5727,              0.0088516,              0.0088516,              0.0088516
                     60,                0.61643,                0.85662,                0.87076,                 1.0034,                0.41313,                0.50909,                0.37955,                0.28794,                0.54315,                0.38182,                 0.3835,                0.30111,                 1.1269,                 2.2605,                 1.7128,                 1.5843,              0.0088318,              0.0088318,              0.0088318
                     61,                0.60534,                0.85922,                0.85892,                0.99129,                0.58946,                    0.4,                0.44537,                0.31774,                0.64669,                0.30909,                  0.381,                0.32975,                 1.2524,                 1.9434,                 1.9593,                 1.6464,               0.008812,               0.008812,               0.008812
                     62,                0.62562,                0.91829,                0.87136,                 1.0145,                0.44917,                0.45455,                0.42747,                0.31748,                0.49404,                    0.4,                0.41565,                0.32595,                 1.2669,                 2.1309,                  1.982,                 1.5829,              0.0087922,              0.0087922,              0.0087922
                     63,                0.61987,                0.89193,                0.87205,                 1.0068,                0.39339,                0.43636,                0.36991,                0.27552,                0.59317,                0.30909,                0.35027,                0.25473,                 1.3843,                 2.6127,                 2.2184,                 1.6106,              0.0087724,              0.0087724,              0.0087724
                     64,                0.60563,                0.86144,                0.83767,                0.99108,                   0.38,                0.45455,                0.41611,                0.32298,                0.43021,                0.38182,                0.39651,                0.30883,                 1.2726,                 2.1118,                 1.9908,                 1.6762,              0.0087526,              0.0087526,              0.0087526
                     65,                0.59823,                0.81049,                0.83797,                0.99062,                0.52095,                0.41818,                0.41886,                0.33256,                0.52095,                0.41818,                0.41419,                0.32603,                 1.3658,                 2.2555,                 1.9773,                 1.6826,              0.0087328,              0.0087328,              0.0087328
                     66,                0.60024,                0.84012,                0.84016,                0.99574,                0.43552,                0.41818,                0.34476,                0.26893,                0.49542,                0.38182,                0.34315,                0.28897,                 1.2536,                 2.2817,                 2.1427,                 1.6634,               0.008713,               0.008713,               0.008713
                     67,                0.60305,                0.89911,                 0.8385,                0.99184,                0.42464,                0.32727,                0.26025,                0.18585,                0.42464,                0.32727,                0.25054,                 0.1784,                 1.3551,                 2.9215,                 2.3427,                 1.6719,              0.0086932,              0.0086932,              0.0086932
                     68,                0.60419,                0.83233,                0.83328,                0.99152,                0.42477,                0.49091,                0.42519,                0.30685,                0.50267,                    0.4,                 0.3938,                0.32043,                 1.1564,                 2.0462,                 1.8272,                 1.5555,              0.0086734,              0.0086734,              0.0086734
                     69,                0.60085,                0.82462,                0.80902,                0.99498,                 0.4595,                0.45455,                0.36257,                0.25829,                0.43367,                0.41818,                0.32753,                0.26303,                 1.3458,                 3.0977,                  2.069,                 1.7188,              0.0086536,              0.0086536,              0.0086536
                     70,                0.58555,                0.82685,                0.82006,                0.98475,                0.63956,                0.45172,                0.44837,                0.32022,                0.57933,                0.41818,                0.41072,                0.31615,                 1.3833,                 2.2819,                   1.91,                 1.6516,              0.0086338,              0.0086338,              0.0086338
                     71,                0.58617,                0.80753,                0.78804,                0.98111,                0.39613,                0.45455,                0.35871,                0.27072,                0.36891,                0.41818,                0.33927,                0.26939,                 1.3036,                 2.5274,                 2.1934,                 1.6103,               0.008614,               0.008614,               0.008614
                     72,                0.60256,                0.86746,                0.81881,                0.99982,                0.52173,                    0.4,                0.42421,                0.31376,                0.54554,                    0.4,                0.40908,                0.32278,                 1.4036,                 2.0215,                 2.1494,                 1.8016,              0.0085942,              0.0085942,              0.0085942
                     73,                0.57672,                0.79999,                0.78372,                0.97646,                0.51913,                0.41818,                0.41104,                0.30116,                0.51913,                0.41818,                0.40562,                 0.3064,                 1.4018,                 2.7186,                 2.0432,                  1.792,              0.0085744,              0.0085744,              0.0085744
                     74,                0.58518,                0.83807,                0.78873,                0.97975,                0.42798,                    0.4,                0.38088,                0.27044,                0.44817,                    0.4,                 0.3778,                0.29739,                 1.2969,                 2.4282,                 2.1284,                 1.7101,              0.0085546,              0.0085546,              0.0085546
                     75,                0.58744,                0.81387,                0.77067,                0.98838,                0.44049,                0.44382,                0.39804,                0.25797,                0.57696,                0.32727,                0.37533,                  0.284,                 1.4203,                 2.2828,                 2.2924,                 1.8053,              0.0085348,              0.0085348,              0.0085348
                     76,                 0.5938,                0.82479,                0.79878,                0.99135,                0.44433,                    0.4,                0.38739,                0.27215,                0.40394,                0.36364,                0.35398,                0.27544,                 1.3165,                 1.8801,                 2.2185,                 1.6192,               0.008515,               0.008515,               0.008515
