                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.79884,                 1.1864,                 1.1963,                 1.1155,                0.77499,                0.53659,                  0.653,                0.48445,                0.78379,                0.54268,                0.64808,                0.49785,                0.88048,                 1.5025,                 1.2762,                 1.2583,              0.0095644,              0.0095644,              0.0095644
                     24,                0.76169,                 1.1757,                 1.1612,                 1.0897,                0.71905,                0.62805,                0.67488,                0.52966,                0.71563,                0.62805,                0.68025,                0.55364,                0.82413,                  1.233,                 1.1994,                 1.2374,              0.0095446,              0.0095446,              0.0095446
                     25,                0.79075,                  1.149,                 1.1713,                 1.1133,                0.74531,                0.59756,                0.65677,                0.52969,                0.79978,                0.56707,                0.64782,                0.52534,                0.78066,                  1.374,                 1.1581,                 1.1849,              0.0095248,              0.0095248,              0.0095248
                     26,                 0.7912,                 1.2024,                 1.1709,                 1.1138,                0.75007,                0.59146,                0.63698,                0.48933,                0.75007,                0.59146,                 0.6406,                0.51229,                0.86486,                 1.3959,                 1.2403,                  1.246,               0.009505,               0.009505,               0.009505
                     27,                 0.7573,                  1.179,                 1.1349,                 1.0805,                0.65234,                0.64634,                0.63303,                0.50052,                0.73706,                0.56098,                0.63258,                0.51762,                0.85435,                 1.4004,                  1.271,                 1.2418,              0.0094852,              0.0094852,              0.0094852
                     28,                0.75863,                 1.1541,                 1.1705,                 1.0896,                0.66384,                0.60207,                0.61254,                0.49142,                0.68708,                0.62925,                0.63482,                0.52832,                0.79844,                 1.5028,                 1.2013,                 1.2156,              0.0094654,              0.0094654,              0.0094654
                     29,                0.74282,                 1.0975,                 1.1475,                 1.0736,                0.70189,                0.67683,                0.67345,                0.54614,                0.70821,                0.68293,                0.68211,                 0.5715,                0.77449,                 1.4625,                 1.1475,                 1.1874,              0.0094456,              0.0094456,              0.0094456
                     30,                0.74934,                 1.1285,                 1.1249,                 1.0864,                0.75029,                0.56796,                0.65927,                0.52691,                0.62936,                0.64634,                0.66455,                0.54247,                0.83329,                 1.3119,                 1.2517,                 1.2339,              0.0094258,              0.0094258,              0.0094258
                     31,                0.72603,                 1.1683,                  1.131,                  1.069,                0.73647,                0.63415,                0.64652,                0.53152,                0.72939,                0.62805,                0.63477,                 0.5253,                 0.7495,                 1.5092,                 1.1613,                 1.1758,               0.009406,               0.009406,               0.009406
                     32,                 0.7317,                 1.0779,                 1.1073,                 1.0803,                0.82493,                 0.5459,                0.65063,                0.49728,                0.82497,                0.56098,                0.65543,                0.54104,                0.84632,                 1.3615,                  1.318,                 1.2407,              0.0093862,              0.0093862,              0.0093862
                     33,                0.72238,                 1.0677,                 1.0955,                 1.0639,                 0.7493,                0.60366,                0.65403,                0.51888,                0.76471,                0.60976,                0.65461,                0.53764,                0.81972,                 1.3527,                 1.1777,                  1.238,              0.0093664,              0.0093664,              0.0093664
                     34,                 0.7143,                 1.0797,                 1.0853,                 1.0674,                0.69497,                 0.5557,                 0.6357,                0.52086,                0.69901,                0.56707,                0.63799,                0.53256,                0.78778,                 1.3571,                 1.2446,                 1.1691,              0.0093466,              0.0093466,              0.0093466
                     35,                0.73173,                 1.0879,                 1.1065,                 1.0723,                0.77929,                0.60366,                0.67181,                0.54369,                0.77929,                0.60366,                0.67954,                0.56153,                0.76307,                 1.2955,                  1.132,                 1.1715,              0.0093268,              0.0093268,              0.0093268
                     36,                0.71678,                 1.0649,                 1.0711,                 1.0637,                0.65897,                0.60976,                0.65436,                0.52524,                0.66802,                0.62576,                0.66129,                0.54271,                0.79559,                 1.3505,                 1.2023,                 1.2101,               0.009307,               0.009307,               0.009307
                     37,                0.69854,                 1.0045,                 1.0692,                 1.0453,                0.68067,                0.63415,                 0.6548,                0.52861,                0.70396,                0.62349,                0.65817,                0.53893,                0.79711,                 1.3609,                 1.1651,                 1.1952,              0.0092872,              0.0092872,              0.0092872
                     38,                0.69814,                 1.0569,                   1.06,                 1.0509,                 0.6753,                0.59756,                0.66532,                0.52595,                0.69421,                0.60366,                0.67271,                0.56392,                0.82379,                 1.4297,                 1.1493,                 1.2018,              0.0092674,              0.0092674,              0.0092674
                     39,                0.71746,                 1.0626,                 1.0609,                 1.0625,                0.74111,                0.61585,                0.62791,                0.50452,                0.74896,                0.62195,                0.63785,                0.53155,                0.77119,                 1.2495,                 1.2066,                 1.1811,              0.0092476,              0.0092476,              0.0092476
                     40,                0.69412,                 1.0273,                 1.0421,                 1.0499,                0.76381,                0.57317,                 0.6479,                0.53483,                0.74908,                0.58537,                0.66083,                 0.5503,                0.77482,                 1.4056,                 1.1496,                  1.181,              0.0092278,              0.0092278,              0.0092278
                     41,                 0.6979,                 1.0274,                 1.0638,                 1.0483,                0.83117,                0.56098,                0.67435,                0.54442,                0.83117,                0.56098,                0.67967,                0.55915,                0.77078,                 1.2701,                 1.1704,                  1.197,               0.009208,               0.009208,               0.009208
                     42,                0.69269,                 1.0087,                 1.0526,                 1.0444,                0.65056,                0.59756,                 0.6227,                0.49107,                0.66032,                0.58537,                 0.6209,                0.48809,                0.80808,                 1.3219,                 1.2987,                 1.1999,              0.0091882,              0.0091882,              0.0091882
                     43,                0.68824,                 1.0096,                 1.0423,                 1.0398,                0.71841,                0.61585,                0.63435,                0.49681,                0.70681,                0.63209,                0.63754,                0.53135,                0.81651,                 1.3302,                 1.2578,                 1.2085,              0.0091684,              0.0091684,              0.0091684
                     44,                0.66789,                 1.0056,                0.99089,                 1.0357,                0.75467,                0.65854,                0.70348,                0.56776,                0.78381,                0.64111,                0.70772,                0.59361,                0.74318,                 1.1964,                 1.1116,                 1.1613,              0.0091486,              0.0091486,              0.0091486
                     45,                0.65622,                0.93871,                0.98857,                 1.0266,                0.71054,                0.61585,                0.64258,                0.53153,                0.71758,                0.62195,                0.64683,                0.54491,                0.74468,                 1.3784,                  1.131,                 1.1711,              0.0091288,              0.0091288,              0.0091288
                     46,                0.67961,                0.97484,                0.99399,                 1.0379,                0.69616,                0.55488,                0.62066,                0.51498,                0.75823,                0.51634,                0.62762,                0.52721,                0.76848,                  1.268,                 1.2154,                 1.1724,               0.009109,               0.009109,               0.009109
                     47,                0.66073,                0.96681,                0.98587,                 1.0257,                0.72339,                0.63415,                0.65389,                0.54163,                0.73035,                0.64024,                0.66302,                0.56927,                0.71553,                 1.2327,                  1.193,                 1.1517,              0.0090892,              0.0090892,              0.0090892
                     48,                0.66201,                0.96289,                0.96966,                 1.0274,                 0.6481,                0.69512,                0.67713,                0.55457,                0.71745,                0.61585,                0.67696,                0.57134,                0.79546,                 1.4586,                 1.1187,                 1.2034,              0.0090694,              0.0090694,              0.0090694
                     49,                0.66969,                0.98123,                0.98058,                 1.0289,                0.67177,                0.65854,                0.66719,                0.55254,                0.68057,                0.67073,                0.68483,                0.57524,                0.74731,                 1.2876,                 1.1443,                 1.1527,              0.0090496,              0.0090496,              0.0090496
                     50,                0.66592,                0.92483,                0.96896,                 1.0214,                0.67184,                0.60366,                0.63858,                0.53013,                0.67749,                0.60976,                0.64352,                 0.5389,                0.75155,                 1.2284,                 1.2222,                 1.1477,              0.0090298,              0.0090298,              0.0090298
                     51,                0.66332,                0.99044,                0.96355,                  1.032,                 0.7016,                0.55488,                0.59896,                0.48458,                0.71135,                0.56098,                0.60689,                0.49791,                0.81322,                 1.6146,                 1.2752,                 1.2277,                0.00901,                0.00901,                0.00901
                     52,                0.65475,                0.97945,                0.94776,                 1.0173,                0.73532,                0.62195,                0.68437,                0.55575,                0.74026,                0.63415,                 0.6897,                 0.5799,                0.74942,                 1.2639,                  1.132,                 1.1203,              0.0089902,              0.0089902,              0.0089902
                     53,                 0.6351,                0.90641,                0.91926,                 1.0012,                 0.7658,                0.55829,                0.62356,                0.50157,                 0.7658,                0.55829,                 0.6273,                0.50204,                0.79195,                 1.4044,                 1.2952,                 1.2021,              0.0089704,              0.0089704,              0.0089704
                     54,                0.63022,                0.95903,                0.93192,                 1.0047,                 0.6105,                0.65244,                0.59352,                0.46866,                 0.6162,                0.65854,                0.60174,                0.49326,                0.80461,                 1.5548,                 1.3037,                 1.2098,              0.0089506,              0.0089506,              0.0089506
                     55,                0.63238,                0.92295,                0.90574,                 1.0089,                0.66595,                0.63415,                0.61713,                0.51109,                0.67235,                0.64024,                0.62494,                0.53487,                0.75719,                 1.4153,                 1.1887,                 1.1526,              0.0089308,              0.0089308,              0.0089308
                     56,                0.64208,                0.88495,                0.90729,                 1.0146,                0.64822,                0.67683,                0.67911,                0.56661,                0.73015,                0.64346,                0.69623,                0.58731,                0.75157,                 1.3273,                 1.1102,                 1.1889,               0.008911,               0.008911,               0.008911
                     57,                0.62988,                0.90786,                0.92441,                 1.0087,                0.73094,                0.60976,                0.65318,                0.52905,                0.73868,                0.61585,                0.66348,                0.55366,                0.75098,                 1.5078,                 1.0939,                 1.1731,              0.0088912,              0.0088912,              0.0088912
                     58,                0.64263,                0.90228,                0.91874,                 1.0153,                0.68302,                0.61585,                0.67597,                0.55689,                0.67532,                0.60976,                0.67282,                0.55201,                0.77294,                 1.3552,                 1.1292,                 1.1947,              0.0088714,              0.0088714,              0.0088714
                     59,                0.63301,                0.93413,                0.89111,                 1.0118,                0.73694,                0.58537,                0.66477,                0.55501,                0.75283,                0.59756,                0.68446,                0.58262,                 0.7135,                 1.2116,                 1.1435,                 1.1323,              0.0088516,              0.0088516,              0.0088516
                     60,                0.61342,                0.89209,                0.87756,                 1.0007,                0.76598,                0.60976,                0.64739,                0.54072,                0.78334,                0.62195,                0.66062,                0.56476,                0.75896,                 1.2951,                 1.1749,                   1.18,              0.0088318,              0.0088318,              0.0088318
                     61,                0.61525,                0.87742,                0.88974,                0.98602,                 0.6699,                0.65244,                0.67608,                0.56748,                 0.6699,                0.65244,                0.67396,                 0.5856,                0.76148,                 1.2089,                 1.0902,                 1.1789,               0.008812,               0.008812,               0.008812
                     62,                0.61268,                0.88255,                0.87301,                0.99778,                0.65389,                0.67683,                0.64208,                0.52489,                0.65389,                0.67683,                0.64337,                0.54839,                 0.7822,                 1.3581,                 1.1521,                 1.2342,              0.0087922,              0.0087922,              0.0087922
                     63,                0.61229,                0.86064,                0.86049,                0.99863,                0.70977,                0.59756,                0.65245,                0.53316,                0.70977,                0.59756,                0.65693,                0.56637,                0.69465,                 1.2691,                 1.1301,                 1.1302,              0.0087724,              0.0087724,              0.0087724
                     64,                0.61528,                 0.8869,                0.88349,                0.99793,                0.73985,                 0.5896,                0.64823,                0.52588,                 0.7475,                 0.5957,                0.65603,                0.56239,                0.75565,                 1.2381,                 1.2109,                 1.1691,              0.0087526,              0.0087526,              0.0087526
                     65,                0.63057,                0.86738,                0.88972,                0.99954,                0.70372,                0.65172,                0.68615,                0.56354,                0.70372,                0.65172,                0.68723,                0.58746,                 0.7543,                 1.2386,                 1.1389,                 1.1608,              0.0087328,              0.0087328,              0.0087328
                     66,                0.61305,                0.86725,                0.86991,                0.98188,                0.76582,                0.56707,                0.63055,                0.51454,                0.77442,                0.57317,                0.63547,                0.54357,                0.73365,                 1.2071,                 1.1429,                 1.1275,               0.008713,               0.008713,               0.008713
                     67,                0.63516,                 0.8804,                0.88051,                 1.0089,                0.69122,                0.57927,                0.64976,                0.54072,                0.69122,                0.57927,                0.65129,                0.56579,                0.74058,                 1.3214,                 1.1771,                 1.1448,              0.0086932,              0.0086932,              0.0086932
                     68,                0.61379,                0.86722,                0.83813,                0.99812,                0.64681,                0.59756,                0.62452,                0.51351,                0.65341,                0.60366,                0.62927,                0.53672,                0.78308,                 1.3759,                  1.191,                 1.1931,              0.0086734,              0.0086734,              0.0086734
                     69,                0.60691,                0.82879,                0.83389,                 0.9916,                0.74515,                0.59756,                0.66849,                0.55634,                0.72027,                0.60976,                0.67893,                0.58127,                0.74914,                 1.1981,                 1.1624,                 1.1443,              0.0086536,              0.0086536,              0.0086536
                     70,                0.60287,                0.86875,                0.82825,                0.99091,                0.74792,                0.59756,                0.65382,                0.54327,                0.74284,                0.59756,                0.66021,                0.58062,                0.75947,                 1.2041,                   1.25,                 1.1527,              0.0086338,              0.0086338,              0.0086338
                     71,                0.60235,                0.85577,                0.83757,                0.97954,                0.84225,                0.54878,                0.65781,                0.53586,                0.85236,                0.55488,                0.66153,                 0.5717,                0.73875,                 1.2111,                 1.2233,                 1.1374,               0.008614,               0.008614,               0.008614
